,enriched_smiles,name
188,[Li]<-P1(N2CCOCC2)Oc2ccc3ccccc3c2Sc2c(ccc3ccccc23)O1,ligand1239-0
189,[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1CNc1ccccc1,ligand1244-0
190,[Li]<-P(C)(C)c1c(-c2c(C(C)C)cccc2C(C)C)cccc1-c1c(C(C)C)cccc1C(C)C,ligand1247-0
191,[Li]<-n1cc[nH]c1C,ligand361-0
192,[Li]<-P(OCC)(OCC)OCC,ligand1255-0
193,[Li]<-n1cccc2c3ncccc3ccc21,ligand797-0
194,[Li]<-P(C=C)(c1ccccc1)c1ccccc1,ligand1262-0
195,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)CCN1c1c(C(C)C)cccc1C(C)C,ligand1264-0
196,[Li]<-N1CCCCC1,ligand1285-0
197,[Li]<-P(c1ccccc1)(c1ccccc1)c1c[nH]c(C(C)C)n1,ligand1286-0
198,[Li]<-S=C(N(C)C)N(C)C,ligand1289-0
199,[Li]<-N1=C(C)ON(C)C1c1ccccc1,ligand1298-0
200,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12C1CC3CC(C1)CC2C3,ligand1300-0
201,[Li]<-p1(-c2ccccc2)c(-c2ccccn2)c2c(c1-c1ccccn1)CCCC2,ligand1303-0
202,[Li]<-p1(C(C)(C)C)p2p3p(C(C)(C)C)p(C(C)(C)C)p2p2p3p21,ligand1304-0
203,[Li]<-S1CCCSC1,ligand1305-0
204,[Li]<-[O-][n+]1ccccc1,ligand1309-0
205,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12CC(C)CCC2C(C)C,ligand1349-0
206,[Li]<-P(c1ccco1)(c1ccco1)c1ccccc1C,ligand1351-0
207,[Li]<-n1ccn(CC)c1,ligand100-0
208,[Be]=[C]1N(C2CCCCC2)C=CN1C1CCCCC1,ligand1358-0
209,[Li]<-P1(c2ccccc2)P(c2ccccc2)P(c2ccccc2)P1c1ccccc1,ligand1366-0
210,[Li]<-n1cc(-c2cccs2)cc2ccc3cc(-c4cccs4)cnc3c21,ligand1373-0
211,[Li]<-S=C(N)NN,ligand1374-0
212,[Li]<-P(C)(c1ccccc1)c1ccccc1,ligand1376-0
213,[Li]<-N(=O)C1=CN(CC)CC1,ligand1377-0
214,[Li]<-n1cc(C)nc(C)c1,ligand135-0
215,[Be]=[C]1N(CC)C=CN1c1ccccc1,ligand1382-0
216,[Be]=[C]1N(C)C=CN1CC,ligand1385-0
217,[Li]<-p12p3p1p32,ligand1389-0
218,[Li]<-n1ccc(C=NNC(=O)c2cccnc2)cc1,ligand1392-0
219,[Li]<-P(C(=Cc1ccccc1)OCC)=C([Si](C)(C)C)[Si](C)(C)C,ligand1400-0
220,[Li]<-S=C1NCCN1C,ligand1404-0
221,[Be]=[C]1N(Cc2ccccc2)C=CN1Cc1ccccc1,ligand1436-0
222,[Li]<-O=P(C)(C)C,ligand1451-0
223,[Li]<-P(OC(C)C)(OC(C)C)OC(C)C,ligand1453-0
224,[Li]<-P(Cc1ccccc1)(C(C)C)C(C)C,ligand1211-0
225,[Li]<-n1ccc(C)cc1C,ligand222-0
226,[Li]<-P(C=C1SC(C)=C(C)S1)(c1ccccc1)c1ccccc1,ligand1464-0
227,[Li]<-P(Cl)(OC(=C(F)F)C(F)(F)F)C1(C)C(C)=C(C)C(C)=C1C,ligand1483-0
228,[Li]<-Nc1ccccc1,ligand177-0
229,[Li]<-NCCN1CCOCC1,ligand1497-0
230,[Li]<-P(c1ccccc1OC)(c1ccccc1OC)c1ccccc1OC,ligand1498-0
231,[Li]<-P1(Cl)N(C)CCN1C,ligand1503-0
232,[Li]<-n1ccc(C(C)O)cc1,ligand1506-0
233,[Li]<-n1ccncc1,ligand578-0
234,[Li]<-N(CCN(C(C)C)C(C)C)=C(N(C)C)N(C)C,ligand1528-0
235,[Li]<-n1ccc(C(O)(c2ccccc2)c2ccccc2)cc1,ligand1538-0
236,[Li]<-n1ccccc1C,ligand177-0
237,[Li]<-N1C(C)(C)CCCC1(C)C,ligand1560-0
238,[Li]<-n1c(N)sc2cc(C)ccc21,ligand1569-0
239,[Li]<-P1(C2(C)C(C)=C(C)C(C)=C2C)OC1c1ccccc1,ligand1575-0
240,[Be]=[C]1N(C)c2ccccc2N1Cc1ccccc1,ligand1589-0
241,[Li]<-N1=C(c2ccccc2C)NCC1,ligand257-0
242,[Li]<-P(NC(C)c1ccccc1)(c1ccccc1)c1ccccc1,ligand1597-0
243,[Be]=[C]1N(c2c(C)cc(C)cc2C)C=CN1c1c(C)cc(C)cc1C,ligand1607-0
244,[Li]<-n1ccc(C(C)=O)cc1,ligand1609-0
245,[Li]<-O=C(c1ccccc1)c1ccccc1,ligand1614-0
246,[Li]<-P1(Cl)CC2C=CC1O2,ligand1618-0
247,[Li]<-N1=C(C2=NCCN2)NCC1,ligand1621-0
248,[Be]=[C]1N(Cc2ccccc2)C=C(C#C[Si](C)(C)C)N1C,ligand1623-0
249,[Li]<-n1cc2ccccn2c1-c1ccccn1,ligand1641-0
250,[Li]<-P(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,ligand1644-0
251,[Be]=[C]1C=CNN1c1ccccc1,ligand1140-0
