tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand289-0,[H]C#Cc1c([H])c([H])c(/N=C(\[H])c2nc([H])c([H])c([H])c2[H])c([H])c1[H],"[[0], [10]]",C#Cc1ccc(N2=Cc3ccccn3->[Ir]<-2)cc1
ligand290-0,[H]C1=C([H])C([H])=C(C([H])([H])N2CN(C([H])([H])[H])C([H])=C2[H])C(C2=C(C([H])([H])N3CN(C([H])([H])[H])C([H])=C3[H])C([H])=C([H])C([H])=C2[H])=C1[H],"[[0], [38]]",CN1C=CN2Cc3ccccc3-c3ccccc3CN3C=CN(C)[C]3=[Be]->[Ir]<-[Be]=[C]12
ligand301-0,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2N=C2N(C([H])([H])[H])C([H])([H])C([H])([H])N2C([H])([H])[H])c(N=C2N(C([H])([H])[H])C([H])([H])C([H])([H])N2C([H])([H])[H])c1[H],"[[0], [34]]",CN1CCN(C)C1=N1->[Ir]<-N(=C2N(C)CCN2C)c2ccccc2-c2ccccc21
ligand302-0,[H]C1=C([H])C([H])=C([H])C(C([H])([H])N2CN(C([H])([H])[H])C3=C([H])C([H])=C([H])C([H])=C32)=N1,"[[0], [15]]",CN1[C]2=[Be]->[Ir]<-n3ccccc3CN2c2ccccc21
ligand311-0,[H]c1nc2c(c([H])c1[H])c([H])c([H])c1c([H])c([H])c([H])nc12,"[[0], [11]]",c1cc2ccc3cccn4->[Ir]<-n(c1)c2c34
ligand315-0,[H]C1=C([H])C([H])=C(/C([H])=C(\[H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [8]]",C(=Cc1ccccc1)C=C1P(->[Ir]<-P1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
ligand331-0,[H]C1([H])SC([H])([H])C([H])([H])SC([H])([H])C([H])([H])SC1([H])[H],"[[11], [14]]",C1CS2->[Ir]<-S(CCS1)CC2
ligand332-0,[H]c1nc(-c2nc([H])c([H])c(OC([H])([H])[H])c2[H])c([H])c(OC([H])([H])[H])c1[H],"[[12], [16]]",COc1ccn2->[Ir]<-n3ccc(OC)cc3-c2c1
ligand333-0,[H]C1=C([H])C(C2=N[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O2)=C(N2CN(C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],"[[0], [22]]",CC(C)C1COC2c3ccccc3N3C=CN(C)[C]3=[Be]->[Ir]<-N=21
ligand339-0,[H]c1c(/N=C(C(=N/c2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])/C([H])([H])[H])\C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],"[[0], [8]]",CC1C(C)=N(->[Ir]<-N=1c1cc(C)cc(C)c1)c1cc(C)cc(C)c1
