tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand473-0,[H]C([H])([H])P(N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[[0]],[Li]<-P(C)(N1CCCC1)N1CCCC1
ligand483-0,[H]C1=NC2=C(C(=O)N(C([H])([H])[H])C(=O)N2C([H])([H])[H])N1C([H])([H])N1CN(C([H])([H])[H])C([H])=C1[H],[[24]],[Be]=[C]1N(C)C=CN1Cn1cnc2c1c(=O)n(C)c(=O)n2C
ligand493-0,[H]C1=C([H])C([H])=C([Se]C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-[Se](c1ccccc1)c1ccccc1
ligand497-0,[H]C1([H])N2C([H])([H])N3C([H])([H])N1C([H])([H])P(C2([H])[H])C3([H])[H],[[0]],[Li]<-P12CN3CN(CN(C3)C1)C2
ligand504-0,[H]C1=C([H])C([H])=C(C2=C([H])C([H])=C([H])C([H])=C2P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],[[0]],[Li]<-P(c1ccccc1-c1ccccc1)(C(C)(C)C)C(C)(C)C
ligand506-0,[H]C1=C([H])C([H])=C(P2C3=C([H])C([H])=C([H])C([H])=C3C3=C2C([H])=C([H])C([H])=C3[H])C([H])=C1[H],[[0]],[Li]<-p1(-c2ccccc2)c2ccccc2c2ccccc21
ligand512-0,[H]N1C([H])([H])C([H])([H])SC([H])([H])C1([H])[H],[[4]],[Li]<-N1CCSCC1
ligand515-0,[H]c1c([H])c([H])c2c(nc([H])n2[H])c1[H],[[6]],[Li]<-n1c[nH]c2ccccc21
ligand520-0,[H]C1=C([H])C(P(C2=C([H])C([H])=C([H])C(C([H])([H])[H])=C2[H])C2=C([H])C(C([H])([H])[H])=C([H])C([H])=C2[H])=C([H])C(C([H])([H])[H])=C1[H],[[0]],[Li]<-P(c1cccc(C)c1)(c1cccc(C)c1)c1cccc(C)c1
ligand522-0,[H]c1nc(N([H])[H])c([H])c([H])c1[H],[[8]],[Li]<-n1ccccc1N
ligand525-0,[H]C([H])([H])C([H])([H])C([H])([H])P(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],[[0]],[Li]<-P(CCC)(CCC)CCC
ligand527-0,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])O[H],[[8]],[Li]<-N(CCO)CCO
ligand534-0,[H]C1=C([H])C([H])=C(P(=O)(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[2]],[Li]<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1
ligand535-0,[H]c1nc([H])c([H])c(C([H])([H])[H])n1,[[0]],[Li]<-n1ccc(C)nc1
ligand560-0,[H]C1=C([H])N(C([H])([H])[H])CN1C([H])([H])[H],[[2]],[Be]=[C]1N(C)C=CN1C
ligand561-0,[H]C1([H])N2C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]43[H])[C@]2([H])C([H])([H])C([H])([H])C1([H])[H],[[0]],[Li]<-N12CCCCC1C1CC(C2)C2CCCCN2C1
ligand567-0,[H]C1=C([H])C([H])=C(N2CN(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],[[0]],[Be]=[C]1N(c2ccccc2)C=CN1C(C)C
ligand575-0,[H]C([H])([H])C1=C(C([H])([H])[H])N(C([H])([H])[H])CN1C([H])([H])[H],[[0]],[Be]=[C]1N(C)C(C)=C(C)N1C
ligand578-0,[H]c1nnc([H])c([H])c1[H],[[0]],[Li]<-n1ccccn1
ligand586-0,[H]C1=C([H])C([H])=C2C(=C1[H])N([H])CN2[H],[[2]],[Be]=[C]1Nc2ccccc2N1
ligand588-0,[H]c1nc([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c1[H],[[0]],[Li]<-n1ccc(N(C)C)cc1
ligand594-0,[H]C1=C([H])C([H])=C(C([H])([H])N2CN(C([H])([H])[H])C3=C([H])C([H])=C([H])C4=C([H])C([H])=C([H])C2=C43)C([H])=C1[H],[[1]],[Be]=[C]1N(C)c2cccc3cccc(c23)N1Cc1ccccc1
ligand605-0,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c1[H],[[16]],[Li]<-NCCc1ccccc1
ligand621-0,[H]C([H])=C([H])[As](C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[[0]],[Li]<-[As](C=C)(C1CCCCC1)C1CCCCC1
ligand626-0,[H]c1c([H])c([H])[n+]([O-])c(/C(=N\N([H])C(=S)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c1[H],[[0]],[Li]<-S=C(NN=C(C)c1cccc[n+]1[O-])N(C)C
ligand636-0,[H]C1=C(N2CN(C3=C([H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C3[H])C([H])([H])C2([H])[H])C([H])=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[[1]],[Be]=[C]1N(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)CCN1c1cc(C(C)(C)C)cc(C(C)(C)C)c1
ligand637-0,[H]OC([H])([H])C([H])([H])n1c(C([H])([H])[H])nc([H])c1[N+](=O)[O-],[[4]],[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C
ligand638-0,[H]OC([H])([H])C([H])([H])n1c(C([H])([H])[H])nc([H])c1[N+](=O)[O-],[[4]],[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C
ligand649-0,[H]N([H])N([H])CN([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[[3]],[Be]=[C](NN)NC(C)(C)C
ligand652-0,[H]c1c([H])c([H])c(-n2c([H])c([H])n([H])c2=S)c([H])c1[H],[[0]],[Li]<-S=c1[nH]ccn1-c1ccccc1
ligand656-0,[H]C1=PC(=P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c21,[[0]],[Li]<-P1=Cc2ccccc2C1=P(c1ccccc1)(c1ccccc1)c1ccccc1
ligand660-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])=C1[H],[[0]],[Li]<-P(CCOC)(c1ccccc1)c1ccccc1
ligand666-0,[H]c1c([H])c([H])c([C@@]([H])(N([H])[H])C([H])([H])[H])c([H])c1[H],[[7]],[Li]<-NC(C)c1ccccc1
ligand675-0,[H]C1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(N2CN(C3=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])=C3C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=C1C([H])([H])[H],[[0]],[Be]=[C]1N(c2c(C)cc(C)cc2C)CCCCN1c1c(C)cc(C)cc1C
ligand677-0,[H]N([H])c1nnnn1N([H])[H],[[0]],[Li]<-n1nnn(N)c1N
ligand678-0,[H]C1=C([H])N(C([H])([H])[H])CS1,[[6]],[Be]=[C]1SC=CN1C
ligand680-0,[H]C1=NC2=C(C([H])([H])N3CN(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C3[H])C([H])=C([H])C([H])=C2C([H])=C1[H],[[0]],[Be]=[C]1N(Cc2cccc3cccnc23)C=CN1C(C)(C)C
ligand688-0,[H]C1=C([H])C2=C(C([H])=C1[H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])CN2C([H])([H])C1=C([H])C([H])=C(N(=O)=O)C([H])=C1[H],[[1]],[Be]=[C]1N(CCCC)c2ccccc2N1Cc1ccc([N+](=O)[O-])cc1
ligand709-0,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[[1]],[Li]<-NCCCC
ligand713-0,[H]C1=C([H])C(C2([H])OC([H])([H])C([H])([H])C([H])([H])O2)=C([H])C([H])=C1P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],[[0]],[Li]<-P(c1ccc(C2OCCCO2)cc1)(C(C)C)C(C)C
ligand716-0,[H]C(=S)C([H])=C(SC([H])([H])C([H])([H])[H])SC([H])([H])C([H])([H])[H],[[0]],[Li]<-S=CC=C(SCC)SCC
ligand718-0,[H]C(=O)c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[[0]],[Li]<-O=Cc1c(C)cc(C)cc1C
ligand729-0,[H]C([H])(Cl)C([H])([H])N(P(F)F)C([H])([H])C([H])([H])Cl,[[0]],[Li]<-P(F)(F)N(CCCl)CCCl
ligand739-0,[H]c1nc([H])n(C([H])([H])[H])n1,[[0]],[Li]<-n1cnn(C)c1
ligand741-0,[H]N1N=C(C([H])([H])C([H])([H])[H])C(C([H])([H])[H])=P1,[[2]],[Li]<-n1[nH]pc(C)c1CC
ligand744-0,[H]c1c([H])c([H])c(Sc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[[0]],[Li]<-S(c1ccccc1)c1ccccc1
ligand746-0,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C#N,[[0]],[Li]<-N#Cc1ccc(C)cc1
ligand749-0,[H]C1=C([H])C([H])=C(C(=O)N([H])C([H])([H])C([H])([H])N2CN(C3=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])=C3C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],[[0]],[Be]=[C]1N(CCNC(=O)c2ccccc2)C=CN1c1c(C)cc(C)cc1C
ligand764-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C(=O)OC([H])([H])[H])C([H])=C1[H],[[13]],[Li]<-P(c1ccccc1)(c1ccccc1)C(CC(=O)OC)c1ccccc1
ligand777-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
ligand779-0,[H]c1c([H])c([H])c(/C(=N\P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[[4]],[Li]<-P(N=C(c1ccccc1)N(C(C)C)C(C)C)(C(C)C)C(C)C
