,enriched_smiles,name
181,[Be]=[C]1N(C)C=NN1CCS(->[Ir])c1ccccc1,ligand1315-0
182,[Ir]<-n1cccc2ccn(P(->[Ir])(n3cccc3)n3cccc3)c21,ligand1336-0
183,[Ir]<-n1ccccc1CCN1CCCN(->[Ir])(CCc2ccccc2)CC1,ligand1342-0
184,[Ir]<-N(=Cc1ccccn1->[Ir])C1CCCCC1,ligand1345-0
185,CC(C)P(->[Ir])(c1cccc2c1C1c3ccccc3C2c2cccc(P(->[Ir])(C(C)C)C(C)C)c21)C(C)C,ligand1365-0
186,COc1ccccc1N(Cc1ccccn1->[Ir])Cc1ccccn1->[Ir],ligand1371-0
187,[Ir]<-n1cc(-c2cccs2)cc2ccc3cc(-c4cccs4)cn(->[Ir])c3c21,ligand1372-0
188,[Ir]<-P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(->[Ir])(c2ccccc2)c2ccccc2)ccc2ccccc12,ligand1383-0
189,[Ir]<-NCc1[nH]c2ccccc2n1->[Ir],ligand1388-0
190,COC(=O->[Ir])c1ccccn1->[Ir],ligand1395-0
191,COC1(OC)C2C(=S->[Ir])C(=S->[Ir])C1C1C3C=CC(C3)C12,ligand1399-0
192,Cc1ccc(N(->[Ir])=C2C(=N(->[Ir])c3ccc(C)cc3)c3cccc4cccc2c34)cc1,ligand1405-0
193,C[Si](C)(C)N(->[Ir])=C1C(=N(->[Ir])[Si](C)(C)C)c2cccc3cccc1c23,ligand1409-0
194,CN(->[Ir])CCN(C)->[Ir],ligand1410-0
195,[Ir]<-N=CCN->[Ir],ligand1412-0
196,[Ir]<-S(CCS(->[Ir])c1ccccc1)c1ccccc1,ligand1414-0
197,Cc1cccc(C=N(->[Ir])c2ccccc2CCc2ccccc2N=Cc2cccc(C)n2->[Ir])n1,ligand1418-0
198,[Ir]<-P(CCCCCP(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand1421-0
199,Nn1c(-c2ccccn2)nn(->[Ir])c1-c1ccccn1->[Ir],ligand1428-0
200,[Be]=[C]1N(CN2C=CN(c3c(C(C)C)cccc3C(C)C)[C]2=[Be])C=CN1c1c(C(C)C)cccc1C(C)C,ligand1430-0
201,COc1ccc(C)n(->[Ir])c1-c1c(OC)ccc(C)n1->[Ir],ligand1440-0
202,CC1c2c(ccc(-c3ccccc3-c3ccccc3-c3ccc4c(n3->[Ir])C(C)C3CC4C3(C)C)n2->[Ir])C2CC1C2(C)C,ligand1476-0
